,ID,none_sent,lm_sent,none_pred,LM_pred,true
10294,fbb94a6c-982f-4e7d-b1f5-4335450f7a4b,fujiwara  no  ietaka  married ,fujiwara  no  ietaka  married fujiwara  is a japanese surname.,B-CW I-CW I-CW O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
108941,24c939b6-8367-4e42-acfe-82439e6f88b7,cirsa  fee ,cirsa  fee cirsa is spain's largest casino operator as of 2017.,B-LOC O,B-CORP O,B-CORP O
180172,c5705e37-80b9-4a1c-94a0-ffcc722cda52,bryce  marion  cast ,bryce  marion  cast bryce marion  is an american soccer player.,B-CW I-CW O,B-PER I-PER O,B-PER I-PER O
54637,5a5ae0d6-e189-427a-a95c-874bb2faa744,na'ale  tracker ,na'ale  tracker na'ale  is an israeli settlement in the west bank.,B-PROD O,B-LOC O,B-LOC O
85412,a8e1f3c0-3151-4682-ac05-f6f4598786a0,zoe  news ,"zoe  news zoe  can refer to:ζωή , the ancient greek word for ""life""",B-CORP O,B-GRP O,B-GRP O
143551,1021cfb2-e37e-4009-83fa-5e7d25465f3c,famous  people  born  in  ecomoni ,"famous  people  born  in  ecomoni hello! project (ハロー!プロジェクト, harō!",O O O O B-LOC,O O O O B-GRP,O O O O B-GRP
127040,6a74b7dc-6092-426e-9f8c-14d166ded7ee,sawthis  2018 ,sawthis  2018 sawthis is an italian thrash metal band formed in 2000.,B-CW O,B-GRP O,B-GRP O
191223,0d883b82-eaa6-4054-ae1b-002efb2119c0,joe  lofthouse  7 ,joe  lofthouse  7 joseph morris lofthouse  was an english footballer.,B-CW I-PER O,B-PER I-PER O,B-PER I-PER O
169488,5eb02aaa-9c69-4e87-990d-6291ed7846e1,stusid  bank  loans ,stusid  bank  loans stusid bank is a bank in tunisia and saudi arabia.,B-CORP O O,B-CORP I-CORP O,B-CORP I-CORP O
181686,72b76098-bdfb-40e4-aa51-a987904da854,director  of  næturvaktin ,director  of  næturvaktin næturvaktin  is an icelandic television show.,O O B-CORP,O O B-CW,O O B-CW
142701,dd5a1668-a712-4448-bb56-6223bf97d768,diy  computer  re ,diy  computer  re diy stands for do it yourself. diy may also refer to:,O O O,B-PROD I-PROD O,B-PROD I-PROD O
36282,6e53bcc3-e6c2-4548-b094-5bc444cccabf,phyllis  bentley  age ,phyllis  bentley  age phyllis eleanor bentley   was an english novelist.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
85612,c1c55e34-b675-43a8-a41b-4316b2fbeb21,dreddup  facts ,dreddup  facts dreddup is a serbian industrial rock and electronic band.,B-LOC O,B-GRP O,B-GRP O
12372,5e6d2f1a-adc5-4af8-bcef-4263a3d6d26d,charles  caryl  coleman  2 ,charles  caryl  coleman  2 charles caryl coleman  was an american artist.,B-PER I-PER B-CW O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
16192,81955cf2-48cb-4304-a30b-25022d32b7e9,el  país  history ,el  país  history el país  is a spanish-language daily newspaper in spain.,O O O,B-GRP I-GRP O,B-GRP I-GRP O
44340,10af35cf-1594-41ba-a280-ad9634c4937b,resurrection  of  gavin  stone  accounts ,resurrection  of  gavin  stone  accounts gavin stone  is a canadian rower.,B-CW I-CW I-CW O O,B-CW I-CW I-CW I-CW O,B-CW I-CW I-CW I-CW O
12116,6a0a8feb-b95a-45bd-9dd5-592dca8de54f,jobs  in  roman  ogaza ,jobs  in  roman  ogaza roman grzegorz ogaza  was a polish football player.,O O B-LOC I-LOC,O O B-PER I-PER,O O B-PER I-PER
13434,33132339-c1a0-4b7f-8174-b9d6039bd06d,robert  currey  history ,"robert  currey  history robert currey , is an astrologer and entrepreneur.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
213769,73259c16-095b-4eef-b55e-5cb095abdd25,aviavilsa  taxes ,"aviavilsa  taxes aviavilsa was a cargo airline based in vilnius, lithuania.",B-LOC O,B-CORP O,B-CORP O
56257,76f8141b-43cf-4256-b5b9-00140cb76026,structure  of  bob  seeley ,structure  of  bob  seeley bob seeley  is an american boogie woogie pianist.,O O B-CW I-CW,O O B-PER I-PER,O O B-PER I-PER
78352,b71b0228-74ad-499d-acbf-a0223c4c5475,sonali  bank  limited  payroll ,sonali  bank  limited  payroll sonali is a popular indian female given name.,B-CORP I-CORP O O,B-CORP I-CORP I-CORP O,B-CORP I-CORP I-CORP O
46630,d19f2aa6-babf-4496-ae47-54b64b7fd8b5,terlan  state  animal ,terlan  state  animal terlan  is a comune  in south tyrol in northern italy.,B-LOC I-LOC I-GRP,B-LOC O O,B-LOC O O
103431,4bbd420d-e844-4073-a0a2-77fb4893fc69,kinga  preis  company ,kinga  preis  company kinga anna preis  is a polish film and theatre actress.,B-CORP I-CORP I-CORP,B-PER I-PER O,B-PER I-PER O
199594,c2ec18dd-c7d8-4fe3-9751-215b84283db7,jos  heyligen  website ,"jos  heyligen  website jozef ""jos"" heyligen  is a retired belgian footballer.",B-GRP I-GRP O,B-PER I-PER O,B-PER I-PER O
65343,0e708123-6654-4c4a-b9a6-ed039a3e8ab0,1994  mie  aceh ,1994  mie  aceh mie aceh or mi aceh  is an acehnese curried spicy noodle dish.,O B-CW I-CW,O B-PROD I-PROD,O B-PROD I-PROD
73678,459001f9-61b5-48e3-953f-b58d44e7f155,sams  3rd  new  york  volunteer  infantry  regiment ,sams  3rd  new  york  volunteer  infantry  regiment sams or sams can refer to:,O O B-GRP I-GRP I-GRP I-GRP I-GRP,O B-GRP I-GRP I-GRP I-GRP I-GRP I-GRP,O B-GRP I-GRP I-GRP I-GRP I-GRP I-GRP
113082,79a305b9-5126-4439-9290-e7b7d145ec29,most  expensive  frances  mercer ,most  expensive  frances  mercer frances mercer  was an american film actress.,O O B-LOC B-CORP,O O B-PER I-PER,O O B-PER I-PER
75400,8501b3ef-5f1d-41c0-8e79-bade929947d9,data  chuo  expressway ,data  chuo  expressway the chūō expressway  is a national expressway in japan.,B-LOC I-LOC I-LOC,O B-LOC I-LOC,O B-LOC I-LOC
30398,c508720a-2160-49d2-8f4b-8705b93f2fcb,bryan  steel  iq ,bryan  steel  iq bryan steel  is an english former professional racing cyclist.,B-CORP I-PROD I-PROD,B-PER I-PER O,B-PER I-PER O
173732,96693e12-bc9e-4ff7-a12c-6013e4642f6f,the  former  montgomery  ward  store  closed  in  2001  . ,the  former  montgomery  ward  store  closed  in  2001  . montgomery refers to:,O O B-CORP I-GRP O O O O O,O O B-CORP I-CORP O O O O O,O O B-CORP I-CORP O O O O O
75345,47137bfb-1140-42d3-9dce-289431781484,ferdinand  lion  application ,ferdinand  lion  application ferdinand lion  was a swiss journalist and writer.,B-PROD I-PROD O,B-PER I-PER O,B-PER I-PER O
106392,da665edd-4cb2-496e-a560-34750fe6e38a,ryuji  yamakawa  high  school ,ryuji  yamakawa  high  school ryūji  is a common masculine japanese given name.,B-GRP I-LOC I-LOC I-GRP,B-PER I-PER O O,B-PER I-PER O O
87887,4a3b03a0-8113-4b30-af2d-31ca27f99444,elena  baramova  education ,elena  baramova  education elena baramova  is a bulgarian-born operatic soprano.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
106518,2d5520c3-7e55-44db-a174-8b0f872830e0,arman  hovhannisyan  young ,arman  hovhannisyan  young arman hovhannisyan  is an armenian football defender.,B-PER I-PER I-PER,B-PER I-PER O,B-PER I-PER O
120220,b2266ab5-1e4b-4841-a135-2f45b3777a2e,scott  lithgow  wages ,"scott  lithgow  wages scott lithgow, limited was a scottish shipbuilding company.",B-PER I-PER O,B-CORP I-CORP O,B-CORP I-CORP O
90984,7874c644-4ab5-4628-88eb-422d9b1d213a,tara  whitten  insurance ,tara  whitten  insurance tara alice whitten  is a canadian former racing cyclist.,B-PER I-PER B-CORP,B-PER I-PER O,B-PER I-PER O
216416,02e4a405-8de4-433f-afd0-56a5486f1664,antigenes  summer ,antigenes  summer antigenes  was the name of a number of people of ancient greece:,B-CW I-CW,B-PER O,B-PER O
136100,676c12bf-3ea1-4ae3-a8cf-edc68ae06619,branko  tomovic  movement ,branko  tomovic  movement branko tomović  is a german-serbian actor and filmmaker.,B-PER I-PER B-GRP,B-PER I-PER O,B-PER I-PER O
161004,4384d7ac-a6da-472a-ab31-c3857e5ff480,population  of  perry  lang ,"population  of  perry  lang perry lang  is an american director, writer and actor.",O O B-LOC I-LOC,O O B-PER I-PER,O O B-PER I-PER
95977,d2eb72d0-01d6-46e1-a441-a829da355d3e,upkar  –  manoj  kumar ,upkar  –  manoj  kumar upkar  is a 1967 indian hindi film directed by manoj kumar.,O O B-PER I-PER,B-CW O B-PER I-PER,B-CW O B-PER I-PER
66234,8a6dbbb1-d2cb-4eb9-b980-a4f9e5895ac5,donald  swaelens  how  he  died ,donald  swaelens  how  he  died donald swaelens  was a belgian professional golfer.,B-PER I-PER B-CW I-CW I-CW,B-PER I-PER O O O,B-PER I-PER O O O
151710,9df754e3-9557-44bf-83f8-755f6ad96a02,netunalvatai  free ,netunalvatai  free neṭunalvāṭai  is an ancient tamil poem in the sangam literature.,B-LOC O,B-CW O,B-CW O
114989,2ea9a227-bcc7-43ae-9bcb-e1596fe6f004,current  moneen  time ,"current  moneen  time moneen  is a canadian indie rock band from brampton, ontario.",O B-CORP O,O B-GRP O,O B-GRP O
23013,681a8ab5-861c-4868-9c0d-0cc7bb90bfed,wilfred  hudson  osgood  children ,wilfred  hudson  osgood  children wilfred hudson osgood  was an american zoologist.,B-PER I-PER B-CW I-CW,B-PER I-PER I-PER O,B-PER I-PER I-PER O
71316,3ae370be-8e4f-40ef-9078-6005f64c517e,"st  peter's  college,  radley  contact  email ","st  peter's  college,  radley  contact  email st. peter's or similar terms may mean:",B-GRP I-GRP I-GRP O O O,B-GRP I-GRP I-GRP I-GRP O O,B-GRP I-GRP I-GRP I-GRP O O
117824,ebe921fc-42bd-457b-b896-fe12bcfcafb2,michele  de  lucchi  dosage ,michele  de  lucchi  dosage michele de lucchi  is an italian architect and designer.,B-PER I-PER I-PER B-CW,B-PER I-PER I-PER O,B-PER I-PER I-PER O
119953,7f2ac47b-b3e0-40ce-9ec6-3227469b86bb,one  benjamin  pond ,one  benjamin  pond benjamin pond  was a united states representative from new york.,O B-LOC I-LOC,O B-PER I-PER,O B-PER I-PER
105106,a88f66ea-938d-46fc-a5db-c2b19e38a964,sir  john  maclean  1st  baronet  animal ,sir  john  maclean  1st  baronet  animal john maclean or john maclean is the name of:,O B-PER I-PER O O O,B-PER I-PER I-PER I-PER I-PER O,B-PER I-PER I-PER I-PER I-PER O
41002,ee00c696-06b9-4892-ae99-a6eb9bf32b78,jerzy  chromik  home ,jerzy  chromik  home jerzy chromik   was a foremost long-distance runner from poland.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
137439,b0ee1caa-b73e-45a6-b2bc-802251baf24d,petra  hartmann  history ,"petra  hartmann  history petra hartmann  is a german novelist, journalist and author.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
137372,2404da33-4498-4508-b55f-8cb2eb918a6a,united  russia  portal  login ,united  russia  portal  login united russia  is a russian conservative political party.,B-LOC I-LOC O O,B-GRP I-GRP O O,B-GRP I-GRP O O
184524,6bff6ce1-853f-47d8-a6dd-a95105454d9c,roland  hinton  perry  number ,roland  hinton  perry  number roland hinton perry  was an american sculptor and painter.,B-PER I-PER O O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
77007,591fa15b-d990-45dc-9f74-0a105402d620,vaddakkachchi  last  name ,"vaddakkachchi  last  name vaddakkachchi is a small town in northern province, sri lanka.",B-PER O O,B-LOC O O,B-LOC O O
145161,564e4d4a-38c9-41de-b6bc-97dba13ad2dc,jewel  supermarket  2020 ,jewel  supermarket  2020 jewel often refers to:gemstonejewelleryjewel may also refer to:,B-LOC O O,B-CORP I-CORP O,B-CORP I-CORP O
47858,2605a2fa-83c9-408e-8a44-8d166766fa84,davydkovo  time ,"davydkovo  time davydkovo  is a village in novorzhevsky district of pskov oblast, russia.",B-LOC I-CW,B-LOC O,B-LOC O
90142,0d8c2cff-c57b-4957-954c-b54241ac8b58,nature  republic  me ,nature  republic  me nature republic  is a south korean cosmetics brand  created in 2009.,B-GRP I-GRP O,B-CORP I-CORP O,B-CORP I-CORP O
108429,f9ad7fee-fad2-4f7d-9666-4f4b376fca5e,5  medart ,"5  medart medart is an unincorporated community in wakulla county, florida, united states.",O B-CORP,O B-LOC,O B-LOC
3980,3574a617-fa99-4cd9-9e00-7e07398d9cd8,reset  luxtorpeda ,reset  luxtorpeda luxtorpeda – a popular name of the famous polish railcar from the 1930s.,O B-LOC,O B-PROD,O B-PROD
36746,7948fd31-004d-4231-9eb8-b11d28996e1f,skoda  fabia  a ,skoda  fabia  a škoda means pity in  the czech and slovak languages. it may also refer to:,B-PROD I-PROD I-PROD,B-PROD I-PROD O,B-PROD I-PROD O
11669,ee5ceb02-75f8-4828-bfd1-839d8f8676fb,liu  taigong  streaming ,"liu  taigong  streaming liu taigong , personal name liu tuan , was the father of liu bang .",B-CW I-CW O,B-PER I-PER O,B-PER I-PER O
87774,96508580-9402-428b-b74e-eeeb3976b63e,arrinera  documents ,"arrinera  documents arrinera automotive s.a., is a polish car manufacturer based in warsaw.",B-LOC O,B-CORP O,B-CORP O
96794,a5ee5227-8c9b-4b7e-9376-b47dcab0e747,vyond  service  request ,vyond  service  request vyond  is an american cloud-based animated video creation platform.,B-LOC O O,B-CORP O O,B-CORP O O
197575,73dc74e9-00bc-48e9-ac4d-7f76d541f3f1,laura  alemán  musician ,laura  alemán  musician laura nicole figueroa alemán   is a puerto rican actress and singer.,B-PER O O,B-PER I-PER O,B-PER I-PER O
97406,44d61548-a4a7-4017-923a-31d2b7954d52,austin  ernst  definition ,austin  ernst  definition austin ernst  is an american professional golfer on the lpga tour.,B-CW O O,B-PER I-PER O,B-PER I-PER O
23854,4038de4f-d6ad-40a0-80e7-58af38e65945,lotte  bruil  nationality  leopold  figl ,lotte  bruil  nationality  leopold  figl lotte jonathans  is a dutch former badminton player.,O O O B-PER I-PER,B-PER I-PER O B-PER I-PER,B-PER I-PER O B-PER I-PER
185269,b0f28c5c-83c2-46f5-b15a-cff8a7ad0f58,roger  strickland  tax ,roger  strickland  tax sir roger strickland  was an english admiral and member of parliament.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
15398,78f17095-5a24-4272-bba4-25a191d125eb,škoda  vos  picking ,škoda  vos  picking škoda means pity in  the czech and slovak languages. it may also refer to:,B-PROD I-PER O,B-PROD I-PROD O,B-PROD I-PROD O
33103,92f4b9e1-a101-40ab-b533-c94aa5fc1dab,tara  air  financing  login ,"tara  air  financing  login tara air pvt. ltd. is an airline headquartered in kathmandu, nepal.",B-CORP I-CORP I-CORP O,B-CORP I-CORP O O,B-CORP I-CORP O O
46059,7d850d03-62ea-462c-8156-9b2d90d8e110,lafox  new  jersey ,lafox  new  jersey lafox is a commune in the lot-et-garonne department in south-western france.,B-CORP O I-PROD,B-LOC O O,B-LOC O O
152376,eeca66df-0314-4521-8f2a-1d2233afe7ca,stanley  graham  taxes ,stanley  graham  taxes eric stanley george graham  was a new zealander who killed seven people.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
56306,4f801b35-adb3-4d75-b9b2-e152e42f5550,marisa  laurito  kids ,"marisa  laurito  kids marisa laurito  is an italian actress, singer and television personality.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
42566,45986be3-c7b2-4987-a468-3897e474fc60,mediacorp  download  free ,mediacorp  download  free mediacorp pte. ltd. is a state-owned media conglomerate in singapore.,B-CW O O,B-CORP O O,B-CORP O O
203541,58bee418-a42d-4d7d-905c-b5bc81b84ec7,santos  ojeda  meaning ,santos  ojeda  meaning santos ojeda  was a cuban-born american classical pianist and pedagogue.,B-LOC I-PER O,B-PER I-PER O,B-PER I-PER O
175112,b1a91e56-a6ac-4cb9-9662-25ecf03ba6ec,define  raymond  field ,define  raymond  field raymond is a male given name. it was borrowed into english from french .,O B-LOC I-LOC,O B-PER I-PER,O B-PER I-PER
61318,c1897edf-c9af-416c-a03f-51395893e772,aburadako  log  in ,"aburadako  log  in aburadako  is a japanese noise punk band. their name means ""greasy octopus"".",B-CORP O O,B-GRP O O,B-GRP O O
33152,86c71b97-3b4c-48b1-b562-3482a4679ee9,william  owen  stanley  draft ,william  owen  stanley  draft hon. william owen stanley  was a british liberal party politician.,B-PER I-PER O O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
217174,311e877b-6da8-4e54-808e-73b10f6b5464,mark  alwin  clements  meaning ,mark  alwin  clements  meaning mark alwin clements  is an australian botanist and orchidologist.,B-PER I-PER O O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
189575,bbad8cd4-8e23-46ed-92c9-70009351d584,jackie  burroughs  zip  code ,"jackie  burroughs  zip  code jacqueline ""jackie"" burroughs  was a british-born canadian actress.",B-LOC I-LOC O O,B-PER I-PER O O,B-PER I-PER O O
39859,8d9a598e-8d53-4333-9f1a-050cc4eebe01,malajube  england ,"malajube  england malajube is a canadian francophone indie rock band formed in montreal, quebec.",B-CORP B-LOC,B-GRP O,B-GRP O
40864,a16c5202-3705-4a2b-8ded-c3d47cee5ae1,john  cook  children ,john  cook  children john is a common english name and surname:john john john may also refer to:,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
174721,dd356e53-a4af-4e19-a68d-a2e4c410f6d1,helped  publish  the  communist  l'humanité  newspaper  . ,helped  publish  the  communist  l'humanité  newspaper  . l'humanité  is a french daily newspaper.,O O O O B-CW O O,O O O O B-GRP O O,O O O O B-GRP O O
113137,01b7cf02-5288-411b-b044-0527a6bcc45a,the  walther  kittel ,the  walther  kittel walther kittel  was a german general of medical services during world war ii.,O B-PROD I-PROD,O B-PER I-PER,O B-PER I-PER
18915,eb26c7d0-bfa7-43ff-92c4-6528d92d3328,frank  pittman  ethnicity ,"frank  pittman  ethnicity frank smith pittman, iii, m.d.  was an american psychiatrist and author.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
95564,dd8b6ae9-449e-405f-a223-0d3bd2496532,mal  st  clair  death ,"mal  st  clair  death malcolm st. clair  was a hollywood film director, writer, producer and actor.",O B-PER I-PER O,B-PER I-PER I-PER O,B-PER I-PER I-PER O
123503,56ec571e-26df-415b-9e91-179eb6e688f1,shattuck  military  academy  name ,shattuck  military  academy  name shattuck is an archaic word for grapefruit. it can also refer to:,B-GRP I-LOC I-GRP O,B-GRP I-GRP I-GRP O,B-GRP I-GRP I-GRP O
155374,0d07abf9-da94-4df8-8f8b-a8e700cfba02,transfer  photos  from  table  saw  to  malatang ,transfer  photos  from  table  saw  to  malatang malatang  is a common type of chinese street food.,O O O B-PROD I-PROD O B-LOC,O O O B-PROD I-PROD O B-PROD,O O O B-PROD I-PROD O B-PROD
216262,7b6f6206-0e37-4934-9b06-de2da8659561,what  is  a  william  johnson  stone ,what  is  a  william  johnson  stone william johnson stone   was a us representative from kentucky.,O O O B-PER I-PER I-LOC,O O O B-PER I-PER I-PER,O O O B-PER I-PER I-PER
196761,7a07601d-916f-4c5d-858f-d6d854fff6cc,define  chippagiri ,"define  chippagiri chippagiri is a mandal located in the kurnool district of andhra pradesh, india.",O B-PROD,O B-LOC,O B-LOC
93302,07994f52-7a5c-44d4-babe-470115971b43,suree  sukha  2018 ,suree  sukha  2018 suree sukha  is a thai retired professional footballer who played as a defender.,B-CW I-CW O,B-PER I-PER O,B-PER I-PER O
113530,e8bd633a-f7b7-44d8-981a-84d605bb2d2f,squidoo  software ,"squidoo  software squidoo was a revenue-sharing article-writing site. articles were called ""lenses"".",B-CW O,B-CORP O,B-CORP O
202627,90e8805d-ac26-4cf7-9e95-7ec37706f863,monthiers  ok ,monthiers  ok monthiers  is a commune in the aisne department in hauts-de-france in northern france.,B-CW O,B-LOC O,B-LOC O
105436,103af039-7020-4f0b-8d6a-946899a19532,john  new  laguna  facts ,john  new  laguna  facts john is a common english name and surname:john john john may also refer to:,B-CW I-CW I-LOC I-CW,O B-LOC I-LOC O,O B-LOC I-LOC O
162975,43c19f29-aa41-4127-88cb-733353794ffa,althütte  central ,"althütte  central althütte is a municipality of the rems-murr district in baden-württemberg, germany.",B-LOC I-LOC,B-LOC O,B-LOC O
161502,23c6ff73-b62d-458e-b157-11cb944e963c,abcd  tickets ,abcd  tickets abcd is a list of the first four letters in the english alphabet. it may also refer to:,B-CORP O,B-GRP O,B-GRP O
205148,dcee88fd-9b0a-4008-8164-654697da3b1b,henry  valen  prison ,henry  valen  prison henry halfdan valen  was a norwegian political scientist. he was born in hadsel.,B-PER I-PER I-LOC,B-PER I-PER O,B-PER I-PER O
205217,4038901f-6d9c-434a-99c8-0d60a6be9d07,bloch  mb.131  growing ,bloch  mb.131  growing bloch is a surname of german origin. notable people with this surname include:,O I-PROD O,B-PROD I-PROD O,B-PROD I-PROD O
172845,a79de0fb-90a6-4d44-bc93-0e8e6f3da720,original  sherwood  hu ,"original  sherwood  hu sherwood xuehua hu , is a chinese american theatre director and film director.",O B-PROD O,O B-PER I-PER,O B-PER I-PER
40652,164493c3-65ce-45fe-aad7-a28646685c8f,nocturne  hormone ,"nocturne  hormone a nocturne is a musical composition that is inspired by, or evocative of, the night.",O B-PROD,B-CW O,B-CW O
58725,bbb0be3c-82e1-410d-a722-b02dc2deb9a7,based  on  a  manga  written  by  akimi  yoshida  . ,based  on  a  manga  written  by  akimi  yoshida  . yoshida  is the 11th most common japanese surname.,O O O O O O B-PER I-PER O,O O O B-CW O O B-PER I-PER O,O O O B-CW O O B-PER I-PER O
216503,ed15d093-0353-45d0-bce8-443105f0ec39,padre  garcia  county  tax  map ,"padre  garcia  county  tax  map padre means father in many romance languages, and it may also refer to:",B-LOC I-LOC I-LOC O O,B-LOC I-LOC O O O,B-LOC I-LOC O O O
202905,7cdd10e7-0f56-4e6c-ac8e-7036e775c6e6,simen  skjønsberg  values ,simen  skjønsberg  values simen skjønsberg  was a norwegian journalist and writer. he was born in øyer.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
141421,d2552b20-3ca7-4021-afd5-dc556f5143d9,marcel  labine  database ,marcel  labine  database marcel labine  is a quebec poet. he graduated from the université de montréal.,B-PROD I-PROD O,B-PER I-PER O,B-PER I-PER O
162210,48df00bc-c6ed-4d6c-8452-4215bd241ea6,bake  mazda  tribute ,"bake  mazda  tribute bake is the verb form of baking, a method of preparing food. it may also refer to:",B-CW B-PROD I-CW,O B-PROD I-PROD,O B-PROD I-PROD
10924,c0e95bf2-176f-4ccf-8dfa-6309027f365c,"what  genre  is  masyaf,  hama ","what  genre  is  masyaf,  hama hama  is a city on the banks of the orontes river in west-central syria.",O O O B-CW I-CW,O O O B-LOC I-LOC,O O O B-LOC I-LOC
99174,def5cadc-41d6-4210-928d-9d9089404d85,detroit  brights  goodyears  sign  in  page ,detroit  brights  goodyears  sign  in  page detroit  is the largest city in the u.s. state of michigan.,B-GRP I-GRP O O O O,B-GRP I-GRP I-GRP O O O,B-GRP I-GRP I-GRP O O O
146577,0211234f-8acc-482d-b858-9edd6b48a7ef,roman  lengyel  wiki ,roman  lengyel  wiki roman lengyel  is a czech former professional footballer who played as a defender.,O O O,B-PER I-PER O,B-PER I-PER O
175464,e7bbf681-138c-4b3e-84d0-910eb3540f04,john  adams  hyman  age ,john  adams  hyman  age john adams hyman  was a u.s. congressman from north carolina from 1875 to 1877.,B-PER I-PER I-PER I-CW,B-PER I-PER I-PER O,B-PER I-PER I-PER O
94639,4a9b1dd0-3561-4ddd-9154-bd6d838a4ac0,katsdorf  count ,katsdorf  count katsdorf is a municipality in the district perg in the austrian state of upper austria.,B-LOC I-LOC,B-LOC O,B-LOC O
172334,8756e135-77b6-4b01-807e-ac7994481034,facts  about  telemann ,facts  about  telemann georg philipp telemann  was a german baroque composer and multi-instrumentalist.,O O B-CORP,O O B-PER,O O B-PER
156757,e5313054-b574-4ad9-8a44-0a76e9d66375,barnett  uk ,barnett  uk barnett is both a surname and a masculine given name. notable people with the name include:,B-CORP O,B-LOC O,B-LOC O
5867,99b343be-e4b9-40bf-95da-4e8280ae871b,jayac  god ,jayac  god jayac  is a commune in the dordogne department in nouvelle-aquitaine in southwestern france.,B-LOC I-CW,B-LOC O,B-LOC O
2057,a3e537b6-3004-4f4e-8d23-fde97f307ffa,who  influenced  mélodie  zhao ,"who  influenced  mélodie  zhao mélodie zhao  is a classical pianist. she was born in bulle, switzerland.",O O B-PER I-CW,O O B-PER I-PER,O O B-PER I-PER
100081,7e588953-85c9-42c1-9d54-9af2df463a46,"zip  code  warkton,  northamptonshire  ca ","zip  code  warkton,  northamptonshire  ca northamptonshire  is a county in the east midlands of england.",O O B-LOC B-LOC I-LOC,O O B-LOC I-LOC O,O O B-LOC I-LOC O
147464,4c8402bc-35c7-4c88-bcfa-f51ce0ccbfdb,langeland  public  library ,langeland  public  library langeland  is a danish island located between the great belt and bay of kiel.,B-LOC I-LOC I-GRP,B-LOC O O,B-LOC O O
