ID,lang,sent,labels
bf8790c4-3cf9-4c17-82f0-1e02a1f8b0c3,train,she  became  opposed  to  abortion  in  1992  while  attending  a  bible  study  and  has  since  spoken  out  about  how  abortion  has  negatively  impacted  her  life  . , O  O  O  O  O  O  O  O  O  O  B-CW  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
f118c528-430f-4063-b621-f36ad56c217e,train,france  proletarian  unity  party  (  pup  )  (  from  1933  ) , O  B-GRP  I-GRP  I-GRP  O  O  O  O  O  O  O
494a05a9-0fa5-414f-b57c-8c455677cfc7,train,"for  example  ,  in  one  advertisement  a  woman  wearing  a  yellow  shirt  and  a  pin  is  juxtaposed  with  a  similarly  colored  piece  of  pie  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-PROD  O
130ab99c-65d5-40a0-b996-5187c9b0c7ab,train,the  guardian  described  the  album  's  release  as  one  of  the  50  key  events  in  the  history  of  r&b  and  hip  hop  . , B-GRP  I-GRP  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
2e684f84-58a3-456c-8c07-fe600866d25c,train,"the  crew  intended  the  movie  to  be  a  continuation  of  the  season  five  finale  the  end  ,  but  was  also  meant  to  stand  on  its  own  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-CW  I-CW  O  O  O  O  O  O  O  O  O  O  O
88bc9fe7-49d3-42c7-952f-2d33def2551e,train,since  2016  he  is  the  head  coach  of  the  italy  basketball  team  pallacanestro  varese  . , O  O  O  O  O  O  O  O  O  B-LOC  O  O  B-GRP  I-GRP  O
40edbb1f-d9c3-46d3-ba13-c649a737083d,train,"the  gameplay  has  been  described  as  action  heavy  ,  and  compared  to  the  ratchet  &  clank  series  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  B-CW  I-CW  I-CW  O  O
ae9effd5-1765-4760-b009-d87df7a82f4d,train,arovane  can  possibly  be  compared  to  a  blend  between  the  robotic  glitch  sound  of  early  autechre  and  the  expansive  open  synth  laden  fields  of  boards  of  canada  . , O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-GRP  O  O  O  O  O  O  O  O  B-GRP  I-GRP  I-GRP  O
396f521a-fd9c-4b74-94e4-11e327af1c2e,train,mingus  left  in  1951  and  red  mitchell  replaced  him  . , O  O  O  O  O  B-PER  I-PER  O  O  O
4bf88485-0239-48b5-ae9e-ab27d89dd3b9,train,american  weekly  radio  show  wait  wait...  don't  tell  me!  was  started  in  1998  on  public  radio  network  npr  . , O  O  O  O  B-CW  I-CW  I-CW  I-CW  I-CW  O  O  O  O  O  O  O  O  B-CORP  O
cc713d03-fe96-438f-8f66-25dd45c6cfa8,train,hanna  died  in  st.  george  in  2019  at  the  age  of  90  . , O  O  O  B-LOC  I-LOC  O  O  O  O  O  O  O  O
005a6790-233d-4c5f-95d0-5292957bba8f,train,"it  was  developed  by  a  team  led  by  former  blizzard  entertainment  employees  ,  some  of  whom  had  overseen  the  creation  of  the  diablo  series  . ", O  O  O  O  O  O  O  O  O  B-CORP  I-CORP  O  O  O  O  O  O  O  O  O  O  O  B-CW  O  O
92a66f8a-7365-4631-a745-f8e8e054a034,train,"in  the  winter  months  ,  snowmobile  is  also  popular  . ", O  O  O  O  O  B-PROD  O  O  O  O
cb42a990-f48d-489d-a734-d36e97b1cc6d,train,black  swan  (  co  production  with  cross  creek  pictures  and  phoenix  pictures  ) , B-CW  I-CW  O  O  O  O  B-GRP  I-GRP  I-GRP  O  B-GRP  I-GRP  O
895ab3ff-2bb9-43e0-a85e-4679cb40e399,train,the  play  interweaves  the  lives  of  the  poet  w.  h.  auden  and  the  mathematician  alan  turing  . , O  O  O  O  O  O  O  O  B-PER  I-PER  I-PER  O  O  O  B-PER  I-PER  O
59e19ca3-ebc9-4762-b71c-6d25c92e03f8,train,"the  1988  elections  were  also  held  on  a  non  party  basis  ,  although  around  30  candidates  sympathetic  to  the  muslim  brotherhood  were  elected  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-GRP  I-GRP  O  O  O
a12219e6-2514-4fbe-a033-195cae88d4bd,train,the  general  outline  of  the  plot  is  of  a  bee  that  finds  an  abandoned  phonograph  in  a  meadow  and  uses  her  stinger  as  a  stylus  to  play  the  record  on  it  . , O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-PROD  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
87d89a1b-92f0-4720-82ec-bb99443396d4,train,"according  to  the  united  states  census  bureau  ,  the  township  has  a  total  area  of  ,  of  which  is  land  and  is  water  . ", O  O  O  B-GRP  I-GRP  I-GRP  I-GRP  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
dbb3e457-74dd-4add-8068-f98145aa7ee8,train,she  fronted  the  band  gossip  from  its  formation  in  1999  until  its  dissolution  in  2016  . , O  O  O  O  B-GRP  O  O  O  O  O  O  O  O  O  O  O
7204eff0-1947-44fd-971c-644de8eacaa3,train,"rotten  tomatoes  gives  it  a  50  %  rotten  rating  based  on  10  reviews  ,  with  an  average  rating  of  4.8  /  10  . ", B-CORP  I-CORP  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
386ec660-9bf0-4784-b2f8-8d076b9fae0c,train,a  european  union  directive  which  covers  high  visibility  clothing  . , O  B-GRP  I-GRP  O  O  O  O  O  O  O
242b4300-1709-467d-9343-8ae6174aff4b,train,the  game  uses  a  battery  packed  random-access  memory  in  order  to  save  progress  . , O  O  O  O  O  O  B-PROD  I-PROD  O  O  O  O  O  O
097c3dbe-09ff-4dd0-93dd-60f6aafe94d0,train,in  the  end  the  best  placed  rider  was  wilfried  cretskens  who  finished  61st  . , O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O
e78bcb79-52ad-4938-b75c-d19d4dfce4e8,train,"of  the  429  delegates  who  attended  ,  over  one  third  were  from  the  area  around  wheeling  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-LOC  O
7ad6b87a-80aa-478f-9d98-2e914707cccd,train,"in  doing  so  ,  he  reunited  with  former  high  school  and  college  teammate  malik  jackson  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  B-PER  I-PER  O
58d12e07-bb65-45bd-9511-0f6da66aca37,train,"modelled  for  yves  saint  laurent  ,  versace  ,  and  karl  lagerfeld  . ", O  O  B-PER  I-PER  I-PER  O  B-CORP  O  O  B-PER  I-PER  O
09defc13-be3a-44b8-9f74-f071d618c867,train,,
fd6767db-12e0-4748-b469-f66c6ccb9557,train,there  remained  the  question  of  whether  the  improved  performance  compared  to  the  automated  kh-8  gambit  3  satellite  then  under  development  justified  the  cost  . , O  O  O  O  O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  I-PROD  O  O  O  O  O  O  O  O
d9a0350b-2d3f-4302-a760-376c045e7dea,train,"the  group  smith  recorded  a  version  on  their  1969  debut  album  ,  sung  by  gayle  mccormick ", O  O  B-GRP  O  O  O  O  O  O  O  O  O  O  O  B-PER  I-PER
f6285e99-68b2-49cf-a821-16756d558195,train,"bamboo  ,  like  wood  ,  is  a  natural  composite  material  with  a  high  strength  to  weight  ratio  useful  for  structures  . ", O  O  O  B-PROD  O  O  O  O  B-PROD  I-PROD  O  O  O  O  O  O  O  O  O  O  O
1dd73a26-35ee-4260-8bcc-f7874f077ae1,train,in  previous  years  he  had  worked  with  alex  cox  on  the  soundtracks  of  his  films  sid  and  nancy  and  walker  in  1986  and  1987  . , O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O  O  B-CW  I-CW  I-CW  O  B-CW  O  O  O  O  O
7e4138f8-3391-4bf6-81ac-b0e5c5feab89,train,"historian  françois  furet  was  originally  slated  to  write  the  introduction  ,  but  he  died  before  being  able  to  do  so  . ", O  B-PER  I-PER  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
289173e8-83d0-4d83-a4f8-3ba00d642ed1,train,it  is  the  main  hub  of  fiji  airways  and  its  domestic  and  regional  subsidiary  fiji  link  . , O  O  O  O  O  O  B-CORP  I-CORP  O  O  O  O  O  O  B-CORP  I-CORP  O
46806e1d-aea8-421b-b371-9cebdc62d8dd,train,"it  was  broadcast  on  the  channel  animal  planet  ,  with  episodes  having  aired  between  2001  and  2003  . ", O  O  O  O  O  O  B-CORP  I-CORP  O  O  O  O  O  O  O  O  O  O
5af1184f-774f-4de4-bd2c-2af3e45ed174,train,"it  stars  jeetendra  ,  moushumi  chatterjee  ,  govinda  ,  shilpa  shirodkar  with  music  composed  by  rajesh  roshan  . ", O  O  B-PER  O  B-PER  I-PER  O  B-PER  O  B-PER  I-PER  O  O  O  O  B-PER  I-PER  O
5811ab35-22cd-4b45-98f8-11ad103a5179,train,the  song  is  featured  in  the  soundtrack  of  ea  sports  video  game  fifa  17  . , O  O  O  O  O  O  O  O  B-CORP  I-CORP  O  O  B-CW  I-CW  O
ee96e8e5-6a9c-4f80-ac62-3ec8170ea1dc,train,that  year  love  camp  7  was  also  among  the  first  pure  exploitation  film  that  influenced  the  women  in  prison  and  nazi  exploitation  genres  . , O  O  B-CW  I-CW  I-CW  O  O  O  O  O  O  B-CW  I-CW  O  O  O  O  O  O  O  B-CW  I-CW  O  O
2b60f811-d2fd-4778-98cc-736b65e06b4b,train,"historically  ,  the  dish  has  also  been  prepared  using  other  meats  ,  such  as  rump  steak  and  lamb  's  kidney  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  O  O  O  O  O
fc807a98-9e22-4327-be34-6f7d043272a7,train,variety  suggested  that  the  mid  may  opening  date  was  overshadowed  by  the  socko  b.o.  of  ip  man  2  . , O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-CW  I-CW  I-CW  O
93e529ae-fb68-4712-acec-500ed2cd7f72,train,"he  picked  up  his  dad  ’s  banjo  at  age  8  and  by  the  time  he  was  11  ,  he  had  a  gibson  banjo  endorsement  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-CORP  O  O  O
202758e3-79b7-4725-bbea-d7a455291c85,train,a  term  loan  is  a  monetary  loan  that  is  repaid  in  regular  payments  over  a  set  period  of  time  . , O  O  O  O  O  O  B-PROD  O  O  O  O  O  O  O  O  O  O  O  O  O
f1b548cf-c005-43a1-b1eb-596204d5d19b,train,"then  he  became  a  salesman  ,  and  later  a  public  relations  consultant  . ", O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  O  O
dcfe2620-dbc6-41e5-9f9b-7f12455a9eec,train,"riccardo  ghedin  /  stéphane  robert  def  .  arnaud  clément  /  olivier  rochus  ,  6  –  2  ,  5  –  7  ,  [  10  –  7  ] ", B-PER  I-PER  O  B-PER  I-PER  O  O  B-PER  I-PER  O  B-PER  I-PER  O  O  O  O  O  O  O  O  O  O  O  O  O  O
c09807db-853f-4789-8006-57b268a1bca6,train,"many  buildings  were  built  in  a  brick  nonplastering  style  characterized  by  a  special  kind  of  decorative  arts  using  colored  ,  figured  bricks  ,  usually  yellow  and  red  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-CW  I-CW  O  O  O  O  O  O  O  O  O  O  O
aa268db3-5cb9-4d00-816d-ff380b19a80f,train,"is  a  juku  in  tokyo  ,  established  over  300  years  ago  . ", O  O  B-CORP  O  B-LOC  O  O  O  O  O  O  O
41eedba2-d3e4-4d43-9cbb-0ad9c72a52b0,train,the  city  is  also  home  to  via  university  college  which  brings  a  lot  of  international  students  to  move  to  this  town  . , O  O  O  O  O  O  B-GRP  I-GRP  I-GRP  O  O  O  O  O  O  O  O  O  O  O  O  O
b4e603bc-d944-48c8-bef8-5506a3e65a25,train,fleur  live  stenogram  and  recording  at  echo  of  moscow  (  rus  ) , O  O  O  O  O  O  B-CORP  I-CORP  I-CORP  O  O  O
14689355-ed37-44ff-8df2-d802cb7b9834,train,"refrigerator  ,  a  device  used  to  cool  objects  or  interior  spaces ", B-PROD  O  O  O  O  O  O  O  O  O  O
a7c3eea1-8687-4cc8-9c97-f1f23cb36c1a,train,"in  1920  ,  she  accompanied  her  father  to  rio  de  janeiro  and  são  paulo  ,  where  she  was  well  received  . ", O  O  O  O  O  O  O  O  B-LOC  I-LOC  I-LOC  O  B-LOC  I-LOC  O  O  O  O  O  O  O
9610b08c-b105-492f-876b-794b15a1e15a,train,"vanadzor  (  )  is  an  urban  municipal  community  and  the  third  largest  city  in  armenia  ,  serving  as  the  capital  of  lori  region  in  the  northern  part  of  the  country  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-LOC  O  O  O  O  O  O  B-LOC  I-LOC  O  O  O  O  O  O  O  O
e8724c98-328e-40b6-bc8e-cc0b09c720da,train,"lauren  jackson  has  won  the  award  four  times  ,  while  kelsey  griffin  has  won  the  award  three  times  . ", B-PER  I-PER  O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O  O  O
abe88e39-d835-4f9b-b25a-5a9c50ee5a79,train,"401  designates  a  373  cc  engine  ,  derived  from  the  ktm  390  duke  of  street  bikes ", O  O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  I-PROD  O  O  O
2a0ea54c-e5f2-4595-b499-e823fecc2778,train,"oakland  's  defense  ,  anchored  by  defensive  end  john  matuszak  ,  was  punishing  . ", O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O
e03f618a-03de-456d-a795-2a72e8a8601e,train,"recipes  vary  slightly  ,  but  the  dish  is  basically  crème  caramel  made  out  of  eggs  and  sweetened  milk  . ", O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  O  O  O  O  O  O  O  O
56843aca-6563-4082-ba18-26fec8602c1d,train,each  game  is  based  on  their  original  arcade  /  console  release  (  pac-attack  is  based  on  the  sega  mega  drive  version  )  . , O  O  O  O  O  O  O  O  O  O  O  O  B-CW  O  O  O  O  B-PROD  I-PROD  I-PROD  O  O  O
7119f8c3-f585-4138-b28c-f1dda07bb154,train,,
c8e2d38c-77ef-4067-8554-c94881bbf135,train,"however  she  has  to  settle  for  silver  medal  after  she  lost  to  akane  yamaguchi  in  a  tightly  contested  final  match  of  3  games  21  –  14  ,  18  –  21  ,  13  –  21  . ", O  O  O  O  O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
11df49ff-22ec-440a-bdcb-feeae2796635,train,david  foster  wallace  2011  novel  the  pale  king  alludes  to  the  poem  in  its  title  . , B-PER  I-PER  I-PER  O  O  B-CW  I-CW  I-CW  O  O  O  O  O  O  O  O
39de9d51-b754-47a2-bf71-a0fdbfad95b3,train,one  maglite  of  rechargeable  focusing  flashlight  uses  a  halogen  lamp  and  produces  218  lumens  . , O  B-CORP  O  O  O  O  O  O  O  O  O  O  O  O  O
aa19875b-ef2e-482d-adb6-4d8a9d73a81b,train,"afs  intercultural  programs  international  youth  exchange  program  ,  founded  in  1915 ", B-GRP  I-GRP  I-GRP  O  O  O  O  O  O  O  O
31474e3e-744e-48de-8ee4-ab4c51fa3c05,train,the  natural  and  architectural  ensemble  of  stolac , O  O  O  O  O  O  B-LOC
b1c2cb02-c489-4410-9da1-852e213def31,train,all  credits  are  adapted  from  the  liner  notes  of  greatest  hits  . , O  O  O  O  O  O  B-CW  I-CW  O  O  O  O
44ecedb1-d6f3-4801-8b89-b7a82aacfc31,train,it  was  also  used  in  the  netflix  series  stranger  things  . , O  O  O  O  O  O  B-CORP  O  B-CW  I-CW  O
b1a4bf9e-3040-4909-8220-5b144b94ad0b,train,"she  is  a  card  carrying  geek  and  considers  herself  boy  proof  ,  and  proud  of  it  . ", O  O  O  O  O  B-PROD  O  O  O  O  O  O  O  O  O  O  O
9df84a6a-fbf8-4443-b4f5-68988c7a2298,train,"is  a  tactical  role-playing  game  for  the  playstation  ,  developed  and  published  by  namco  . ", O  O  B-CW  I-CW  I-CW  O  O  B-PROD  O  O  O  O  O  B-CORP  O
53471bc1-7bd0-4a5f-8042-c50eb1c76c77,train,he  is  the  co  founder  and  president  of  greentown  china  . , O  O  O  O  O  O  O  O  B-CORP  I-CORP  O
2d4c03e6-2008-48da-bd5b-ac8a0e7f11d5,train,he  played  4  games  for  the  united  rugby  championship  club  . , O  O  O  O  O  O  B-CORP  I-CORP  I-CORP  O  O
a8a188e1-680d-4ca3-92db-3efd222b1096,train,"the  philosopher  and  historian  ,  władysław  tatarkiewicz  ,  was  his  grandson  . ", O  O  O  O  O  B-PER  I-PER  O  O  O  O  O
f853ae21-b018-4382-a767-816ba07f9bd6,train,"duo  ,  with  michael  wollny  (  piano  )  ;  in  concert ", O  O  O  B-PER  I-PER  O  O  O  O  O  O
3833c877-f888-4713-a4c3-40057bf284b8,train,jane  fonda  –  julia  as  lillian  hellman , B-PER  I-PER  O  B-CW  O  B-PER  I-PER
9a908eb8-962c-4248-a3dd-1720b4666968,train,"on  the  first  episode  of  season  thirty  one  of  jeopardy!  ,  jeopardy  ! ", O  O  O  O  O  O  O  O  O  B-CW  O  O  O
b5f465e7-a854-4dce-a027-dac0606e83c9,train,the  pair  also  run  a  separate  podcasting  channel  . , O  O  O  O  O  O  B-CW  O  O
50cf4d80-bed9-4ca7-9f18-f48856a50bba,train,both  countries  are  full  members  of  the  european  union  and  nato  . , O  O  O  O  O  O  O  B-GRP  I-GRP  O  B-GRP  O
a5a57f71-9483-42bc-9724-f8a08aa4079a,train,file  :  ヤマハ  tricity  発表会  .jpg  |  yamaha  tricity  (  2f3t  ) , O  O  O  O  O  O  O  B-PROD  I-PROD  O  O  O
ea916f1b-b9a5-4959-9537-aeb875c1faf1,train,"his  work  is  held  in  the  collections  of  the  j.  paul  getty  museum  ,  metropolitan  museum  of  art  ,  museum  of  fine  arts,  houston  ,  and  museum  of  modern  art  . ", O  O  O  O  O  O  O  O  O  B-LOC  I-LOC  I-LOC  I-LOC  O  B-LOC  I-LOC  I-LOC  I-LOC  O  B-LOC  I-LOC  I-LOC  I-LOC  I-LOC  O  O  B-LOC  I-LOC  I-LOC  I-LOC  O
8d7d50df-015d-43a7-ac46-8c1e9dfe465a,train,he  taught  this  line  of  work  at  the  accademia  albertina  . , O  O  O  O  O  O  O  O  B-GRP  I-GRP  O
5e1a950e-5a79-4603-868c-956730134f00,train,"after  a  long  break  ,  at  the  beginning  of  1996  ,  he  issued  naposletku...  (  after  all  .  .  .  )  . ", O  O  O  O  O  O  O  O  O  O  O  O  O  B-CW  O  O  O  O  O  O  O  O
2e92f2f2-fbed-4642-8029-b29c2669253e,train,"she  also  meets  two  versions  of  jesus  —  a  kindly  but  ineffective  young  man  ,  and  another  who  makes  a  living  by  posing  for  an  artist  depicting  him  on  a  cross  . ", O  O  O  O  O  O  B-PER  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
b5c0d3ed-fae3-412e-af3b-ee653eaa53ae,train,the  united  states  census  bureau  initially  defined  the  for  the , O  B-GRP  I-GRP  I-GRP  I-GRP  O  O  O  O  O
0862314b-1f83-42b4-8e09-078469e89a2c,train,bbc  radio  3  has  also  played  their  music  in  mainstream  programmes  . , B-CORP  I-CORP  I-CORP  O  O  O  O  O  O  O  O  O
1d45d106-21e0-4da7-b53f-390cd644964d,train,the  first  type  was  built  by  hohenzollern  locomotive  works  and  baldwin  locomotive  works  in  1928  and  1929  respectively  . , O  O  O  O  O  O  B-CORP  I-CORP  I-CORP  O  B-CORP  I-CORP  I-CORP  O  O  O  O  O  O
938a2a9b-0c8f-4b84-b4ed-e77ac56b8bb6,train,due  to  the  fact  that  there  are  two  different  materials  in  dfsw  ;  formation  of  a  composite  material  structure  within  the  nugget  zone  is  inevitable  . , O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-PROD  I-PROD  O  O  O  O  O  O  O  O
ff5c5359-9ebf-445a-a4de-2e8d3abf85fb,train,the  club  is  a  member  of  the  galway  gaa  . , O  O  O  O  O  O  O  B-GRP  I-GRP  O
6cf512c6-8383-497f-8e6f-cb5563052883,train,one  of  his  doctoral  students  was  kazimierz  twardowski  . , O  O  O  O  O  O  B-PER  I-PER  O
1a875457-a8f3-41e3-ba17-5609e52425e2,train,"after  the  association  of  the  two  newspapers  ,  léon  nicole  served  as  their  editor  . ", O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O
0c13c99c-0ebc-48cd-a218-6014bd013c1f,train,"danses  concertantes  is  a  work  for  chamber  orchestra  by  igor  stravinsky  ,  composed  in  1942  . ", O  O  O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O
ef030a2a-93f9-4e09-8aed-e20d67d45bef,train,"jeanne  marni  (  1854  –  1910  ,  france  )  ,  nv  .  &  pw  . ", B-PER  I-PER  O  O  O  O  O  O  O  O  O  O  O  O  O
d8e7dbc2-6002-452d-8a9e-ec17d6e6d955,train,"the  vendor  members  sell  street  food  or  other  goods  ,  such  as  fresh  flowers  and  toys  . ", O  O  O  O  B-PROD  I-PROD  O  O  O  O  O  O  O  O  O  O  O
65fc8c67-3b31-4dee-b488-fb9c508111a3,train,he  played  in  major  league  baseball  (  mlb  )  for  the  baltimore  orioles  . , O  O  O  B-CORP  I-CORP  I-CORP  O  O  O  O  O  B-GRP  I-GRP  O
be16705b-7f6e-4c28-b086-5eabf5950d29,train,"thomas  earnshaw  ,  inventor  of  the  standard  chronometer  escapement ", B-PER  I-PER  O  O  O  O  O  O  O
5b551e08-be30-44d4-8c87-edff0daa4eb7,train,it  is  known  from  papua  new  guinea  . , O  O  O  O  B-LOC  I-LOC  I-LOC  O
a8677d9b-9fda-4fae-b3eb-e8bc292ec56c,train,odom  is  a  superfan  of  the  rock  band  night  ranger  . , O  O  O  O  O  O  O  O  B-GRP  I-GRP  O
99598088-8b19-47f8-bb99-4669d5f8ccb9,train,he  finished  his  active  career  at  vejgaard  boldspilklub  . , O  O  O  O  O  O  B-GRP  I-GRP  O
cc14d714-ac17-4166-900d-501972fa4406,train,welenchiti  is  served  by  a  railway  station  on  the  addis  ababa–djibouti  railway  . , O  O  O  O  O  O  O  O  O  B-LOC  I-LOC  I-LOC  O
e8663c61-88e7-4e60-b79e-20ebc04b714d,train,black  stood  again  in  for  the  new  zealand  national  party  . , O  O  O  O  O  O  B-GRP  I-GRP  I-GRP  I-GRP  O
851bd841-8aee-49a5-9bc7-1e6d2082deed,train,in  2001  the  company  was  acquired  by  the  chicago  bridge  &  iron  company  . , O  O  O  O  O  O  O  O  B-CORP  I-CORP  I-CORP  I-CORP  I-CORP  O
6c4b60b2-6236-47e6-a7c0-6b4d56e6a8b8,train,"members  of  this  genus  can  be  found  in  eastern  nigeria  and  western  and  southwestern  cameroon  ,  equatorial  guinea  ,  and  gabon  . ", O  O  O  O  O  O  O  O  O  B-LOC  O  O  O  O  B-LOC  O  B-LOC  I-LOC  O  O  B-LOC  O
4f9ac838-0e09-4d9c-b0dd-6a7c6c7dd9f8,train,the  main  works  were  at  irlam  . , O  O  O  O  O  B-LOC  O
f005fe11-4f4c-41ac-9f5d-187354c4052c,train,digital  camera  [  [  image  sensors  can  also  be  subject  to  a  form  of  reciprocity  failure  . , B-PROD  I-PROD  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
24130875-9e1b-4747-bba4-bd0e465e6739,train,"among  these  peoples  turquoise  was  used  in  mosaic  inlay  ,  in  sculptural  works  ,  and  was  fashioned  into  toroidal  beads  and  freeform  pendants  . ", O  O  O  O  O  O  O  B-PROD  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
f60c4d0b-a721-422e-89ee-3fdfad20a69d,train,in  1990  italian  post  issued  a  stamp  in  his  honor  . , O  O  B-CORP  I-CORP  O  O  O  O  O  O  O
850fb7b1-b5b3-4d12-875e-50ac6021de68,train,"approximately  2,169  developers  across  14  studios  worked  on  the  last  of  us  part  ii  . ", O  O  O  O  O  O  O  O  B-CW  I-CW  I-CW  I-CW  I-CW  I-CW  O
537d918b-82bd-4bf7-8a3e-fcc15eeaf5dc,train,"in  1613  ,  he  continued  his  education  at  university  of  basel  (  where  his  grandfather  had  also  studied  )  ,  in  geneva  and  sedan  . ", O  O  O  O  O  O  O  O  B-GRP  I-GRP  I-GRP  O  O  O  O  O  O  O  O  O  O  B-LOC  O  B-LOC  O
2ab5e20b-f215-4df9-943c-fc3fa218761e,train,the  music  video  for  the  title  track  was  filmed  by  canon  inc.  as  a  campaign  for  their  4k  canon  eos  c500  camera  . , O  O  O  O  O  O  O  O  O  O  B-CORP  I-CORP  O  O  O  O  O  O  B-PROD  I-PROD  I-PROD  O  O
5ce3e012-ebc8-43cd-9767-3fca146fd9e4,train,"in  2017  ,  amy  chu  began  writing  the  series  . ", O  O  O  B-PER  I-PER  O  O  O  O  O
5c5f989a-1d79-4110-824f-b06250a5cb38,train,"guinness  world  records  2002  classified  it  as  the  most  valuable  tooth  ,  which  would  value  approximately  £  25,000  (  35,700  )  in  late  2001  . ", B-CW  I-CW  I-CW  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O
e8bb025c-adb0-44c3-afb9-5fb39750bf81,train,it  is  the  feast  day  of  saint  nicholas  with  particular  regard  to  his  reputation  as  a  bringer  of  gifts  . , O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O  O  O  O  O  O  O  O
